,iso_code,continent,location,total_cases,total_deaths,total_cases_per_million,total_deaths_per_million,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,life_expectancy,human_development_index
181,LKA,Asia,Sri Lanka,89024.0,537.0,4157.426,25.078,21413250.0,341.955,34.1,10.069,5.331,11669.077,76.98,0.782
182,SDN,Africa,Sudan,30989.0,1959.0,706.716,44.676,43849269.0,23.258,19.7,3.548,2.034,4466.507,65.31,0.51
183,SUR,South America,Suriname,9049.0,176.0,15425.291,300.017,586634.0,3.612,29.6,6.933,4.229,13767.119,71.68,0.738
184,SWE,Europe,Sweden,738537.0,13236.0,73127.761,1310.59,10099270.0,24.718,41.0,19.985,13.433,46949.283,82.8,0.945
185,CHE,Europe,Switzerland,578861.0,10183.0,66884.639,1176.597,8654618.0,214.243,43.1,18.436,12.644,57410.166,83.78,0.955
188,TJK,Asia,Tajikistan,13308.0,90.0,1395.313,9.436,9537642.0,64.281,23.3,3.466,2.155,2896.913,71.1,0.668
189,TZA,Africa,Tanzania,509.0,21.0,8.521,0.352,59734213.0,64.699,17.7,3.108,1.874,2683.304,65.46,0.529
190,THA,Asia,Thailand,27494.0,89.0,393.897,1.275,69799978.0,135.132,40.1,11.373,6.89,16277.671,77.15,0.777
192,TGO,Africa,Togo,8582.0,102.0,1036.632,12.321,8278737.0,143.366,19.4,2.839,1.525,1429.813,61.04,0.515
193,TTO,North America,Trinidad and Tobago,7812.0,140.0,5582.029,100.036,1399491.0,266.886,36.2,10.014,5.819,28763.071,73.51,0.796
194,TUN,Africa,Tunisia,243935.0,8490.0,20639.892,718.358,11818618.0,74.228,32.7,8.001,5.075,10849.297,76.7,0.74
195,TUR,Asia,Turkey,2950603.0,29777.0,34985.009,353.063,84339067.0,104.914,31.6,8.153,5.061,25129.341,77.69,0.82
197,UGA,Africa,Uganda,40625.0,334.0,888.153,7.302,45741000.0,213.759,16.4,2.168,1.308,1697.707,63.37,0.544
198,UKR,Europe,Ukraine,1553659.0,30811.0,35525.394,704.513,43733759.0,77.39,41.4,16.462,11.133,7894.393,72.06,0.779
199,ARE,Asia,United Arab Emirates,434465.0,1424.0,43927.95,143.978,9890400.0,112.442,34.0,1.144,0.526,67293.483,77.97,0.89
200,GBR,Europe,United Kingdom,4294328.0,126163.0,63257.929,1858.454,67886004.0,272.898,40.8,18.517,12.527,39753.244,81.32,0.932
201,USA,North America,United States,29669669.0,540302.0,89635.745,1632.319,331002647.0,35.608,38.3,15.413,9.732,54225.446,78.86,0.926
202,URY,South America,Uruguay,76816.0,749.0,22113.425,215.619,3473727.0,19.751,35.6,14.655,10.361,20551.409,77.91,0.817
203,UZB,Asia,Uzbekistan,80971.0,622.0,2419.269,18.584,33469199.0,76.134,28.2,4.469,2.873,6253.104,71.72,0.72
206,VEN,South America,Venezuela,148208.0,1467.0,5211.995,51.59,28435943.0,36.253,29.0,6.614,3.915,16745.022,72.06,0.711
207,VNM,Asia,Vietnam,2570.0,35.0,26.403,0.36,97338583.0,308.127,32.6,7.15,4.718,6171.884,75.4,0.704
209,YEM,Asia,Yemen,3126.0,723.0,104.808,24.241,29825968.0,53.508,20.3,2.922,1.583,1479.147,66.12,0.47
210,ZMB,Africa,Zambia,85889.0,1175.0,4671.954,63.914,18383956.0,22.995,17.7,2.48,1.542,3689.251,63.89,0.584
211,ZWE,Africa,Zimbabwe,36611.0,1509.0,2463.243,101.528,14862927.0,42.729,19.6,2.822,1.882,1899.775,61.49,0.571
