,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index
38251,KWT,Asia,Kuwait,3/18/21,215067.0,1394.0,1310.571,1202.0,8.0,7.714,50360.339,326.421,306.885,281.462,1.873,1.806,1.04,,,,,,,,,8776.0,1941949.0,454.729,2.055,8005.0,1.874,0.164,6.1,tests performed,,,,,11660.0,,,,2730.0,75.93,4270563.0,232.128,33.7,2.345,1.114,65530.537,,132.235,15.84,2.7,37.0,,2.0,75.49,0.806
38628,KGZ,Asia,Kyrgyzstan,3/18/21,87143.0,0.0,55.429,1485.0,0.0,0.714,13356.905,0.0,8.496,227.614,0.0,0.109,1.24,,,,,,,,,,,,,,,,,,,,,,,,,,,52.31,6524191.0,32.333,26.3,4.489,2.882,3393.474,1.4,436.362,7.11,3.6,50.5,89.22,4.5,71.45,0.697
38999,LAO,Asia,Laos,3/18/21,49.0,0.0,0.143,,,0.0,6.735,0.0,0.02,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.67,7275556.0,29.715,24.4,4.029,2.322,6397.36,22.7,368.111,4.0,7.3,51.2,49.839,1.5,67.92,0.613
39398,LVA,Europe,Latvia,3/18/21,95902.0,482.0,518.286,1801.0,12.0,9.143,50843.971,255.54,274.777,954.829,6.362,4.847,0.96,,,,,,,,,16008.0,1671987.0,886.431,8.487,12838.0,6.806,0.04,24.8,tests performed,101826.0,83162.0,18664.0,273.0,1459.0,5.4,4.41,0.99,774.0,56.48,1886202.0,31.212,43.9,19.754,14.136,25063.846,0.7,350.06,4.91,25.6,51.0,,5.57,75.29,0.866
39802,LBN,Asia,Lebanon,3/18/21,430734.0,3757.0,3117.857,5609.0,73.0,54.143,63107.122,550.441,456.799,821.778,10.695,7.933,1.02,,,,,,,,,,,,,,,,,,129487.0,90974.0,38513.0,8597.0,5360.0,1.9,1.33,0.56,785.0,92.59,6825442.0,594.561,31.1,8.514,5.43,13367.565,,266.591,12.71,26.9,40.7,,2.9,78.93,0.744
40123,LSO,Africa,Lesotho,3/18/21,10530.0,0.0,0.286,309.0,0.0,0.0,4915.388,0.0,0.133,144.241,0.0,0.0,0.36,,,,,,,,,,,,,,,,,,,,,,,,,,,65.74,2142252.0,73.562,22.2,4.506,2.647,2851.153,59.6,405.126,3.94,0.4,53.9,2.117,,54.33,0.527
40502,LBR,Africa,Liberia,3/18/21,2042.0,0.0,2.286,85.0,0.0,0.0,403.743,0.0,0.452,16.806,0.0,0.0,0.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,5057677.0,49.127,19.2,3.057,1.756,752.788,38.6,272.509,2.42,1.5,18.1,1.188,0.8,64.1,0.48
40893,LBY,Africa,Libya,3/18/21,149207.0,1032.0,933.714,2435.0,13.0,13.571,21714.564,150.19,135.886,354.373,1.892,1.975,1.08,,,,,,,,,6366.0,,,0.926,,,,,samples tested,,,,,,,,,,55.56,6871287.0,3.623,29.0,4.424,2.816,17881.509,,341.862,10.43,,,,3.7,72.91,0.724
41284,LIE,Europe,Liechtenstein,3/18/21,2620.0,4.0,3.429,56.0,0.0,0.143,68699.688,104.885,89.901,1468.39,0.0,3.746,1.14,,,,,,,,,,,,,,,,,,,,,,82.0,,,,2150.0,,38137.0,237.012,,,,,,,7.77,,,,2.397,82.49,0.919
41680,LTU,Europe,Lithuania,3/18/21,207469.0,580.0,496.714,3442.0,15.0,11.286,76211.177,213.056,182.462,1264.376,5.51,4.146,1.06,,,730.0,268.156,,,,,8628.0,2265144.0,832.073,3.169,7604.0,2.793,0.068,14.7,tests performed,391405.0,272745.0,118660.0,8341.0,8054.0,14.38,10.02,4.36,2959.0,63.89,2722291.0,45.135,43.5,19.002,13.778,29524.265,0.7,342.989,3.67,21.3,38.0,,6.56,75.93,0.882
42080,LUX,Europe,Luxembourg,3/18/21,58674.0,266.0,193.286,705.0,1.0,4.286,93732.028,424.936,308.775,1126.241,1.598,6.846,1.16,17.0,27.158,118.0,188.506,,,,,11691.0,2288142.0,3655.319,18.676,9032.0,14.429,0.021,46.7,tests performed,70339.0,52870.0,17469.0,3185.0,2211.0,11.24,8.45,2.79,3532.0,,625976.0,231.447,39.7,14.312,9.842,94277.965,0.2,128.275,4.42,20.9,26.0,,4.51,82.25,0.916
42130,MAC,Asia,Macao,3/18/21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32841.0,32841.0,,974.0,1064.0,5.06,5.06,,1639.0,23.15,649342.0,20546.766,39.2,9.798,4.991,104861.851,,,,,,,,84.24,
42505,MDG,Africa,Madagascar,3/18/21,21999.0,173.0,263.429,338.0,1.0,5.429,794.445,6.248,9.513,12.206,0.036,0.196,0.69,,,,,,,,,,,,,736.0,0.027,0.358,2.8,tests performed,,,,,,,,,,37.04,27691019.0,43.951,19.6,2.929,1.686,1416.44,77.6,405.994,3.94,,,50.54,0.2,67.04,0.528
42871,MWI,Africa,Malawi,3/18/21,33045.0,75.0,53.143,1091.0,3.0,1.857,1727.396,3.921,2.778,57.031,0.157,0.097,0.72,,,,,,,,,,,,,1093.0,0.057,0.049,20.6,samples tested,9091.0,9091.0,,3674.0,3674.0,0.05,0.05,,192.0,48.15,19129955.0,197.519,18.1,2.979,1.783,1095.042,71.4,227.349,3.94,4.4,24.7,8.704,1.3,64.26,0.483
43302,MYS,Asia,Malaysia,3/18/21,328466.0,1213.0,1300.286,1223.0,3.0,3.286,10148.49,37.478,40.174,37.787,0.093,0.102,0.86,,,,,,,,,58599.0,7029970.0,217.202,1.811,47675.0,1.473,0.027,36.7,people tested,385126.0,384334.0,,17913.0,19317.0,1.19,1.19,,597.0,68.06,32365998.0,96.254,29.9,6.293,3.407,26808.164,0.1,260.942,16.74,1.0,42.4,,1.9,76.16,0.81
43689,MDV,Asia,Maldives,3/18/21,22147.0,186.0,125.571,64.0,0.0,0.0,40971.839,344.099,232.307,118.4,0.0,0.0,1.03,,,,,,,,,4688.0,588650.0,1089.0,8.673,4105.0,7.594,0.031,32.7,samples tested,217597.0,,,1745.0,4381.0,40.26,,,8105.0,,540542.0,1454.433,30.6,4.12,2.875,15183.616,,164.905,9.19,2.1,55.0,95.803,,78.92,0.74
44059,MLI,Africa,Mali,3/18/21,9118.0,52.0,48.0,366.0,1.0,1.0,450.253,2.568,2.37,18.073,0.049,0.049,1.37,,,,,,,,,,,,,,,,,,,,,,,,,,,48.15,20250834.0,15.196,16.4,2.519,1.486,2014.306,,268.024,2.42,1.6,23.0,52.232,0.1,59.31,0.434
44477,MLT,Europe,Malta,3/18/21,27515.0,243.0,267.857,363.0,2.0,3.143,62316.126,550.348,606.644,822.124,4.53,7.118,0.83,,,,,,,,,4760.0,772206.0,1748.896,10.78,4223.0,9.564,0.063,15.8,tests performed,138264.0,95707.0,42557.0,4393.0,3572.0,31.31,21.68,9.64,8090.0,75.0,441539.0,1454.037,42.4,19.426,11.324,36513.323,0.2,168.711,8.83,20.9,30.2,,4.485,82.53,0.895
44630,MHL,Oceania,Marshall Islands,3/18/21,4.0,0.0,0.0,,,0.0,67.574,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59194.0,295.15,,,,3819.202,,557.793,30.53,,,82.502,2.7,73.7,0.704
45011,MRT,Africa,Mauritania,3/18/21,17542.0,21.0,21.143,445.0,0.0,0.429,3772.749,4.516,4.547,95.706,0.0,0.092,1.16,,,,,,,,,,233820.0,50.288,,873.0,0.188,0.024,41.3,tests performed,,,,,,,,,,29.63,4649660.0,4.289,20.3,3.138,1.792,3597.633,6.0,232.347,2.42,,,15.95,,64.92,0.546
45388,MUS,Africa,Mauritius,3/18/21,768.0,6.0,14.857,10.0,0.0,0.0,603.884,4.718,11.682,7.863,0.0,0.0,1.22,,,,,,,,,,,,,,,,,,,,,,,,,,,93.52,1271767.0,622.962,37.4,10.945,5.884,20292.745,0.5,224.644,22.02,3.2,40.7,,3.4,74.99,0.804
45842,MEX,North America,Mexico,3/18/21,2182188.0,6726.0,4461.857,196606.0,698.0,493.429,16925.009,52.167,34.606,1524.872,5.414,3.827,0.9,,,,,,,,,20184.0,5471814.0,42.439,0.157,15451.0,0.12,0.247,4.0,people tested,4947522.0,4300720.0,646802.0,209900.0,163932.0,3.84,3.34,0.5,1271.0,47.22,128932753.0,66.444,29.3,6.857,4.321,17336.469,2.5,152.783,13.06,6.9,21.4,87.847,1.38,75.05,0.779
45910,FSM,Oceania,Micronesia (country),3/18/21,1.0,0.0,0.0,,,0.0,8.694,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115021.0,150.777,23.0,4.81,2.392,3299.464,16.0,454.343,12.02,,,,,67.88,0.62
46297,MDA,Europe,Moldova,3/18/21,210725.0,1797.0,1514.429,4472.0,36.0,36.0,52237.713,445.468,375.42,1108.587,8.924,8.924,1.07,,,,,,,,,,,,,,,,,,,,,,1321.0,,,,327.0,67.59,4033963.0,123.655,37.6,10.864,6.955,5189.972,0.2,408.502,5.72,5.9,44.6,86.979,5.8,71.9,0.75
46692,MCO,Europe,Monaco,3/18/21,2149.0,8.0,10.571,27.0,0.0,0.143,54759.963,203.853,269.377,688.003,0.0,3.64,0.95,,,,,,,,,,,,,,,,,,,,,,165.0,,,,4204.0,62.96,39244.0,19347.5,,,,,,,5.46,,,,13.8,86.75,
47077,MNG,Asia,Mongolia,3/18/21,4658.0,160.0,142.0,4.0,0.0,0.0,1420.862,48.806,43.315,1.22,0.0,0.0,1.54,,,,,,,,,17044.0,2078713.0,634.084,5.199,15856.0,4.837,0.009,111.7,samples tested,171535.0,,,31899.0,17610.0,5.23,,,5372.0,71.76,3278292.0,1.98,28.6,4.031,2.421,11840.846,0.5,460.043,4.82,5.5,46.5,71.18,7.0,69.87,0.737
47455,MNE,Europe,Montenegro,3/18/21,85774.0,521.0,535.0,1178.0,9.0,9.286,136569.32,829.536,851.827,1875.611,14.33,14.785,0.93,,,,,,,,,,,,,,,,,,6085.0,6085.0,,355.0,398.0,0.97,0.97,,634.0,,628062.0,46.28,39.1,14.762,9.395,16409.288,1.0,387.305,10.08,44.0,47.9,,3.861,76.88,0.829
47910,MAR,Africa,Morocco,3/18/21,490575.0,487.0,403.571,8748.0,3.0,5.143,13290.913,13.194,10.934,237.005,0.081,0.139,1.03,,,,,,,,,10285.0,5347174.0,144.868,0.279,9598.0,0.26,0.042,23.8,people tested,,,,,197609.0,,,,5354.0,76.85,36910558.0,80.08,29.6,6.769,4.209,7485.013,1.0,419.146,7.14,0.8,47.1,,1.1,76.68,0.686
48283,MOZ,Africa,Mozambique,3/18/21,65452.0,255.0,258.143,737.0,4.0,3.714,2094.1,8.159,8.259,23.58,0.128,0.119,0.73,,,,,,,,,1459.0,459580.0,14.704,0.047,1651.0,0.053,0.156,6.4,units unclear,,,,,,,,,,55.56,31255435.0,37.728,17.7,3.158,1.87,1136.103,62.9,329.942,3.3,5.1,29.1,12.227,0.7,60.85,0.456
48651,MMR,Asia,Myanmar,3/18/21,142212.0,22.0,14.0,3204.0,1.0,0.429,2613.721,0.404,0.257,58.886,0.018,0.008,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,77.78,54409794.0,81.721,29.1,5.732,3.12,5591.597,6.4,202.104,4.61,6.3,35.2,79.287,0.9,67.13,0.583
49032,NAM,Africa,Namibia,3/18/21,41684.0,138.0,150.429,483.0,6.0,4.714,16405.107,54.311,59.202,190.089,2.361,1.855,1.01,,,,,,,,,1810.0,327300.0,128.812,0.712,1328.0,0.523,0.113,8.8,samples tested,0.0,0.0,,,,0.0,0.0,,,42.59,2540916.0,3.078,22.0,3.552,2.085,9541.808,13.4,243.811,3.94,9.7,34.2,44.6,,63.71,0.646
49462,NPL,Asia,Nepal,3/18/21,275625.0,107.0,79.286,3015.0,1.0,0.429,9459.684,3.672,2.721,103.477,0.034,0.015,1.14,,,,,,,,,3254.0,2227547.0,76.451,0.112,2804.0,0.096,0.028,35.4,tests performed,,,,,44361.0,,,,1523.0,16.67,29136808.0,204.43,25.0,5.809,3.212,2442.804,15.0,260.797,7.26,9.5,37.8,47.782,0.3,70.78,0.602
49862,NLD,Europe,Netherlands,3/18/21,1196045.0,6338.0,5969.714,16332.0,34.0,29.286,69801.801,369.889,348.396,953.144,1.984,1.709,1.17,564.0,32.915,1436.0,83.806,,,,,,,,,34137.0,1.992,,,people tested,,,,,33565.0,,,,1959.0,75.0,17134873.0,508.544,43.2,18.779,11.881,48472.545,,109.361,5.29,24.4,27.3,,3.32,82.28,0.944
50258,NZL,Oceania,New Zealand,3/18/21,2444.0,10.0,3.857,26.0,0.0,0.0,506.819,2.074,0.8,5.392,0.0,0.0,1.21,,,,,,,,,,,,,4802.0,0.996,0.001,1245.0,tests performed,,,,,1398.0,,,,290.0,22.22,4822233.0,18.206,37.9,15.322,9.72,36085.843,,128.797,8.08,14.8,17.2,,2.61,82.29,0.931
50635,NIC,North America,Nicaragua,3/18/21,6582.0,0.0,6.429,176.0,0.0,0.143,993.576,0.0,0.97,26.568,0.0,0.022,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,8.33,6624554.0,51.667,27.3,5.445,3.519,5321.444,3.2,137.016,11.47,,,,0.9,74.48,0.66
51010,NER,Africa,Niger,3/18/21,4906.0,2.0,7.571,185.0,0.0,0.714,202.672,0.083,0.313,7.643,0.0,0.03,0.86,,,,,,,,,,,,,,,,,,,,,,,,,,,34.26,24206636.0,16.955,15.1,2.553,1.378,926.0,44.5,238.339,2.42,0.1,15.4,8.978,0.3,62.42,0.394
51406,NGA,Africa,Nigeria,3/18/21,161409.0,148.0,210.857,2027.0,0.0,3.714,783.008,0.718,1.023,9.833,0.0,0.018,0.6,,,,,,,,,,,,,9411.0,0.046,0.022,44.6,samples tested,,,,,13247.0,,,,64.0,45.37,206139587.0,209.588,18.1,2.751,1.447,5338.454,,181.013,2.42,0.6,10.8,41.949,,54.69,0.539
51839,OWID_NAM,,North America,3/18/21,34173924.0,74792.0,66525.429,786751.0,2409.0,1815.571,57719.183,126.322,112.36,1328.809,4.069,3.066,,,,,,,,,,,,,,,,,,,125843934.0,83943545.0,42327359.0,3095758.0,2841731.0,21.25,14.18,7.15,4800.0,,592072204.0,,,,,,,,,,,,,,
52237,MKD,Europe,North Macedonia,3/18/21,116438.0,1216.0,889.857,3403.0,15.0,19.714,55888.988,583.667,427.122,1633.403,7.2,9.463,1.23,,,,,,,,,3566.0,581878.0,279.295,1.712,3353.0,1.609,0.265,3.8,tests performed,,,,,,,,,,,2083380.0,82.6,39.1,13.26,8.16,13111.214,5.0,322.688,10.08,,,,4.28,75.8,0.774
52312,OWID_CYN,Asia,Northern Cyprus,3/18/21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1403.0,,,,3671.0,,,,,,,,,,,,,,,,
52709,NOR,Europe,Norway,3/18/21,84553.0,1034.0,930.286,648.0,0.0,1.286,15596.611,190.731,171.6,119.53,0.0,0.237,1.21,,,225.0,41.503,,,,,31746.0,4343997.0,801.292,5.856,27763.0,5.121,0.034,29.8,people tested,762375.0,500077.0,262298.0,22363.0,9246.0,14.06,9.22,4.84,1706.0,71.3,5421242.0,14.462,39.7,16.821,10.813,64800.057,0.2,114.316,5.31,19.6,20.7,,3.6,82.4,0.957
53139,OWID_OCE,,Oceania,3/18/21,34202.0,156.0,109.857,968.0,5.0,1.429,801.4,3.655,2.574,22.682,0.117,0.033,,,,,,,,,,,,,,,,,,,253057.0,186294.0,,22500.0,15722.0,0.59,0.44,,368.0,,42677809.0,,,,,,,,,,,,,,
53539,OMN,Asia,Oman,3/18/21,149135.0,577.0,554.0,1620.0,3.0,2.857,29204.237,112.991,108.487,317.235,0.587,0.559,1.39,,,,,,,,,,,,,,,,,,,,,,1787.0,,,,350.0,67.59,5106622.0,14.98,30.7,2.355,1.53,37960.709,,266.342,12.61,0.5,15.6,97.4,1.6,77.86,0.813
53938,PAK,Asia,Pakistan,3/18/21,619259.0,3449.0,2723.0,13757.0,40.0,46.714,2803.443,15.614,12.327,62.279,0.181,0.211,1.32,,,,,,,,,,,,,41010.0,0.186,0.066,15.1,tests performed,,,,,,,,,,50.46,220892331.0,255.573,23.5,4.495,2.78,5034.708,4.0,423.031,8.35,2.8,36.7,59.607,0.6,67.27,0.557
54329,PSE,Asia,Palestine,3/18/21,218061.0,2077.0,2056.0,2358.0,15.0,21.0,42745.191,407.142,403.025,462.225,2.94,4.117,1.08,,,,,,,,,9863.0,,,1.933,9352.0,1.833,0.22,4.5,tests performed,,,,,,,,,,92.59,5101416.0,778.202,20.4,3.043,1.726,4449.898,1.0,265.91,10.59,,,,,74.05,0.708
54715,PAN,North America,Panama,3/18/21,349505.0,485.0,390.0,6025.0,7.0,7.571,81002.038,112.405,90.387,1396.367,1.622,1.755,0.92,,,,,,,,,8946.0,2044156.0,473.758,2.073,7477.0,1.733,0.052,19.2,tests performed,287086.0,,,,7674.0,6.65,,,1779.0,76.85,4314768.0,55.133,29.7,7.918,5.03,22267.037,2.2,128.346,8.33,2.4,9.9,,2.3,78.51,0.815
55090,PNG,Oceania,Papua New Guinea,3/18/21,2479.0,128.0,94.286,31.0,5.0,1.429,277.075,14.306,10.538,3.465,0.559,0.16,1.7,,,,,,,,,,,,,,,,,,,,,,,,,,,54.63,8947027.0,18.22,22.6,3.808,2.142,3823.194,,561.494,17.65,23.5,48.8,,,64.5,0.555
55478,PRY,South America,Paraguay,3/18/21,188493.0,2605.0,1809.429,3620.0,32.0,29.857,26427.228,365.228,253.687,507.534,4.486,4.186,1.2,,,,,,,,,5810.0,827752.0,116.053,0.815,5149.0,0.722,0.351,2.8,tests performed,14467.0,13247.0,,538.0,1392.0,0.2,0.19,,195.0,50.0,7132530.0,17.144,26.5,6.378,3.833,8827.01,1.7,199.128,8.27,5.0,21.6,79.602,1.3,74.25,0.728
55920,PER,South America,Peru,3/18/21,1435598.0,0.0,6877.286,49523.0,0.0,171.429,43540.116,0.0,208.581,1501.978,0.0,5.199,1.14,,,,,,,,,6942.0,4531123.0,137.424,0.211,7963.0,0.242,0.176,5.7,tests performed,681209.0,459932.0,221277.0,37607.0,26709.0,2.07,1.39,0.67,810.0,83.33,32971846.0,25.129,29.1,7.151,4.455,12236.706,3.5,85.755,5.95,4.8,,,1.6,76.74,0.777
56345,PHL,Asia,Philippines,3/18/21,640984.0,5286.0,4848.0,12887.0,21.0,39.857,5849.404,48.238,44.241,117.602,0.192,0.364,1.4,,,,,,,,,46876.0,9013410.0,82.253,0.428,42739.0,0.39,0.113,8.8,people tested,240297.0,240297.0,,,15071.0,0.22,0.22,,138.0,80.09,109581085.0,351.873,25.2,4.803,2.661,7599.188,,370.437,7.07,7.8,40.8,78.463,1.0,71.23,0.718
56736,POL,Europe,Poland,3/18/21,1984248.0,27274.0,19260.571,48388.0,356.0,287.857,52428.692,720.646,508.911,1278.529,9.406,7.606,1.29,,,21858.0,577.542,,,,,85645.0,10639405.0,281.119,2.263,67504.0,1.784,0.285,3.5,people tested,4893320.0,3162971.0,1730349.0,154418.0,71723.0,12.93,8.36,4.57,1895.0,73.15,37846605.0,124.027,41.8,16.763,10.202,27216.445,,227.331,5.91,23.3,33.1,,6.62,78.73,0.88
57134,PRT,Europe,Portugal,3/18/21,816055.0,485.0,497.143,16743.0,21.0,15.429,80031.23,47.564,48.755,1642.001,2.059,1.513,0.74,187.0,18.339,828.0,81.203,,,,,52896.0,8736504.0,856.797,5.188,32404.0,3.178,0.015,65.2,tests performed,1235136.0,863570.0,371566.0,34445.0,22339.0,12.11,8.47,3.64,2191.0,69.44,10196707.0,112.371,46.2,21.502,14.924,27936.896,0.5,127.842,9.85,16.3,30.0,,3.39,82.05,0.864
57529,QAT,Asia,Qatar,3/18/21,172200.0,499.0,481.571,270.0,0.0,0.857,59769.668,173.2,167.151,93.716,0.0,0.298,1.04,,,,,,,,,6374.0,1648555.0,572.204,2.212,6409.0,2.225,0.075,13.3,people tested,,,,,20311.0,,,,7050.0,60.19,2881060.0,227.322,31.9,1.307,0.617,116935.6,,176.69,16.52,0.8,26.9,,1.2,80.23,0.848
57927,ROU,Europe,Romania,3/18/21,881159.0,6174.0,5115.286,21877.0,90.0,89.286,45803.803,320.933,265.899,1137.195,4.678,4.641,1.16,1286.0,66.848,,,,,,,,,,,22386.0,1.164,0.229,4.4,tests performed,2376330.0,1614577.0,761753.0,51925.0,50939.0,12.35,8.39,3.96,2648.0,63.89,19237682.0,85.129,43.0,17.85,11.69,23313.199,5.7,370.946,9.74,22.9,37.1,,6.892,76.05,0.828
58352,RUS,Europe,Russia,3/18/21,4378656.0,9713.0,9537.571,92266.0,451.0,434.571,30004.264,66.557,65.355,632.243,3.09,2.978,0.95,,,,,,,,,,116724405.0,799.841,,320579.0,2.197,0.03,33.6,tests performed,7909438.0,5431048.0,2478390.0,91429.0,90786.0,5.42,3.72,1.7,622.0,40.28,145934460.0,8.823,39.6,14.178,9.393,24765.954,0.1,431.297,6.18,23.4,58.3,,8.05,72.58,0.824
58733,RWA,Africa,Rwanda,3/18/21,20551.0,71.0,86.571,284.0,1.0,1.571,1586.679,5.482,6.684,21.927,0.077,0.121,0.95,,,,,,,,,,1077055.0,83.156,,3592.0,0.277,0.024,41.5,samples tested,323744.0,323744.0,,2046.0,12115.0,2.5,2.5,,935.0,71.3,12952209.0,494.869,20.3,2.974,1.642,1854.211,56.0,191.375,4.28,4.7,21.0,4.617,,69.02,0.543
59144,KNA,North America,Saint Kitts and Nevis,3/18/21,44.0,1.0,0.286,,,0.0,827.192,18.8,5.371,,,0.0,,,,,,,,,,,,,,,,,,,,,,,289.0,,,,5433.0,,53192.0,212.865,,,,24654.385,,,12.84,,,,2.3,76.23,0.779
59525,LCA,North America,Saint Lucia,3/18/21,4097.0,14.0,18.714,55.0,0.0,1.143,22311.291,76.241,101.914,299.517,0.0,6.224,0.68,,,,,,,,,,,,,,,,,,,,,,623.0,,,,3393.0,,183629.0,293.187,34.9,9.721,6.405,12951.839,,204.62,11.62,,,87.202,1.3,76.2,0.759
59906,VCT,North America,Saint Vincent and the Grenadines,3/18/21,1684.0,3.0,1.429,9.0,0.0,0.143,15178.419,27.04,12.876,81.12,0.0,1.288,0.87,,,,,,,,,,,,,,,,,,,,,,216.0,,,,1947.0,,110947.0,281.787,31.8,7.724,4.832,10727.146,,252.675,11.62,,,,2.6,72.53,0.738
60038,WSM,Oceania,Samoa,3/18/21,3.0,0.0,0.0,,,0.0,15.12,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,198410.0,69.413,22.0,5.606,3.564,6021.557,,348.977,9.21,16.7,38.1,,,73.32,0.715
60435,SMR,Europe,San Marino,3/18/21,4292.0,43.0,32.857,78.0,1.0,0.143,126465.908,1267.016,968.152,2298.309,29.465,4.209,1.09,,,,,,,,,,,,,,,,,,7328.0,7299.0,29.0,590.0,435.0,21.59,21.51,0.09,12817.0,54.63,33938.0,556.667,,,,56861.47,,,5.64,,,,3.8,84.97,
60793,STP,Africa,Sao Tome and Principe,3/18/21,2114.0,7.0,11.286,34.0,1.0,0.286,9645.877,31.94,51.495,155.137,4.563,1.304,0.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,219161.0,212.841,18.7,2.886,2.162,3052.714,32.3,270.113,2.42,,,41.34,2.9,70.39,0.625
61186,SAU,Asia,Saudi Arabia,3/18/21,383880.0,381.0,361.714,6591.0,6.0,5.714,11026.641,10.944,10.39,189.321,0.172,0.164,1.05,,,,,,,,,44257.0,14547879.0,417.876,1.271,45774.0,1.315,0.008,126.5,tests performed,2692143.0,,,114513.0,124046.0,7.73,,,3563.0,50.0,34813867.0,15.322,31.9,3.295,1.845,49045.411,,259.538,17.72,1.8,25.4,,2.7,75.13,0.854
61582,SEN,Africa,Senegal,3/18/21,37428.0,174.0,151.0,995.0,5.0,7.714,2235.318,10.392,9.018,59.425,0.299,0.461,0.83,,,,,,,,,1889.0,429239.0,25.635,0.113,1669.0,0.1,0.09,11.1,tests performed,148246.0,148246.0,,2038.0,8435.0,0.89,0.89,,504.0,43.06,16743930.0,82.328,18.7,3.008,1.796,2470.58,38.0,241.219,2.42,0.4,16.6,20.859,,67.94,0.512
61981,SRB,Europe,Serbia,3/18/21,536904.0,5346.0,4801.857,4840.0,30.0,28.0,78903.141,785.645,705.679,711.284,4.409,4.115,1.13,,,,,,,,,18017.0,3218400.0,472.974,2.648,16047.0,2.358,0.299,3.3,people tested,2112074.0,1285223.0,826851.0,34877.0,40676.0,31.04,18.89,12.15,5978.0,54.63,6804596.0,80.291,41.2,17.366,,14048.881,,439.415,10.08,37.7,40.2,97.719,5.609,76.0,0.806
62362,SYC,Africa,Seychelles,3/18/21,3566.0,80.0,62.0,16.0,0.0,0.0,36261.948,813.504,630.466,162.701,0.0,0.0,1.18,,,,,,,,,,,,,,,,,,90150.0,62457.0,27693.0,,292.0,91.67,63.51,28.16,2969.0,65.74,98340.0,208.354,36.2,8.606,5.586,26382.287,1.1,242.648,10.55,7.1,35.7,,3.6,73.4,0.796
62726,SLE,Africa,Sierra Leone,3/18/21,3947.0,5.0,2.143,79.0,0.0,0.0,494.798,0.627,0.269,9.903,0.0,0.0,0.73,,,,,,,,,,,,,,,,,,,,,,970.0,,,,122.0,51.85,7976985.0,104.7,19.1,2.538,1.285,1390.3,52.2,325.721,2.42,8.8,41.3,19.275,,54.7,0.452
63158,SGP,Asia,Singapore,3/18/21,60152.0,15.0,11.714,30.0,0.0,0.143,10281.79,2.564,2.002,5.128,0.0,0.024,1.1,,,,,,,,,,,,,50484.0,8.629,0.0,4309.7,samples tested,,,,,31896.0,,,,5452.0,50.93,5850343.0,7915.731,42.4,12.922,7.049,85535.383,,92.243,10.99,5.2,28.3,,2.4,83.62,0.938
63547,SVK,Europe,Slovakia,3/18/21,344470.0,2040.0,1842.714,8814.0,76.0,81.429,63093.869,373.651,337.516,1614.391,13.92,14.915,0.88,,,3450.0,631.909,,,,,186329.0,21337940.0,3908.303,34.128,323544.0,59.261,0.012,83.3,tests performed,726758.0,495352.0,231406.0,20121.0,18365.0,13.31,9.07,4.24,3364.0,71.3,5459643.0,113.128,41.2,15.07,9.167,30155.152,0.7,287.959,7.29,23.1,37.7,,5.82,77.54,0.86
63969,SVN,Europe,Slovenia,3/18/21,203544.0,971.0,758.571,3951.0,3.0,4.714,97907.964,467.067,364.885,1900.495,1.443,2.268,1.08,85.0,40.886,462.0,222.229,,,,,32462.0,2318482.0,1115.227,15.615,29928.0,14.396,0.026,38.5,tests performed,279315.0,179666.0,99649.0,10056.0,5769.0,13.44,8.64,4.79,2775.0,69.44,2078932.0,102.619,44.5,19.062,12.93,31400.84,,153.493,7.25,20.1,25.0,,4.5,81.32,0.917
