,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index
19864,DJI,Africa,Djibouti,3/18/21,6452.0,67.0,31.143,63.0,0.0,0.0,6530.351,67.814,31.521,63.765,0.0,0.0,1.85,,,,,,,,,,,,,,,,,,,,,,,,,,,37.96,988002.0,41.285,25.4,4.213,2.38,2705.406,22.5,258.037,6.05,1.7,24.5,,1.4,67.11,0.524
20237,DMA,North America,Dominica,3/18/21,156.0,0.0,0.714,,,0.0,2166.938,0.0,9.922,,,0.0,0.14,,,,,,,,,,,,,,,,,,,,,,178.0,,,,2473.0,29.63,71991.0,98.567,,,,9673.367,,227.376,11.62,,,,3.8,75.0,0.742
20631,DOM,North America,Dominican Republic,3/18/21,247979.0,615.0,436.571,3257.0,9.0,7.571,22859.623,56.693,40.245,300.242,0.83,0.698,0.91,,,,,,,,,,,,,3867.0,0.356,0.113,8.9,samples tested,,,,,16553.0,,,,1526.0,70.37,10847904.0,222.873,27.6,6.981,4.419,14600.861,1.6,266.653,8.2,8.5,19.1,55.182,1.6,74.08,0.756
21025,ECU,South America,Ecuador,3/18/21,307429.0,1831.0,1353.143,16333.0,33.0,29.286,17424.925,103.78,76.695,925.746,1.87,1.66,1.12,,,,,,,,,6044.0,1030011.0,58.381,0.343,4586.0,0.26,0.295,3.4,people tested,,,,,9166.0,,,,520.0,59.26,17643060.0,66.939,28.1,7.104,4.458,10581.936,3.6,140.448,5.55,2.0,12.3,80.635,1.5,77.01,0.759
21435,EGY,Africa,Egypt,3/18/21,193482.0,642.0,640.286,11472.0,41.0,43.286,1890.684,6.274,6.257,112.103,0.401,0.423,1.03,,,,,,,,,,,,,,,,,,,,,,,,,,,54.63,102334403.0,97.999,25.3,5.159,2.891,10550.206,1.3,525.432,17.31,0.2,50.1,89.827,1.6,71.99,0.707
21811,SLV,North America,El Salvador,3/18/21,62531.0,0.0,102.429,1962.0,0.0,3.857,9640.62,0.0,15.792,302.488,0.0,0.595,1.11,,,,,,,,,,,,,,,,,,41512.0,41512.0,,5512.0,2586.0,0.64,0.64,,399.0,42.59,6486201.0,307.811,27.6,8.273,5.417,7292.458,2.2,167.295,8.87,2.5,18.8,90.65,1.3,73.32,0.673
22191,GNQ,Africa,Equatorial Guinea,3/18/21,6666.0,63.0,30.0,100.0,0.0,0.286,4751.298,44.904,21.383,71.277,0.0,0.204,1.17,,,,,,,,,,,,,,,,,,,,,,430.0,,,,306.0,,1402985.0,45.194,22.4,2.846,1.752,22604.873,,202.812,7.78,,,24.64,2.1,58.74,0.592
22565,ERI,Africa,Eritrea,3/18/21,3095.0,17.0,12.286,7.0,0.0,0.0,872.709,4.794,3.464,1.974,0.0,0.0,1.06,,,,,,,,,,,,,,,,,,,,,,,,,,,86.11,3546427.0,44.304,19.3,3.607,2.171,1510.459,,311.11,6.05,0.2,11.4,,0.7,66.32,0.459
22964,EST,Europe,Estonia,3/18/21,91031.0,1700.0,1443.143,758.0,13.0,10.286,68622.935,1281.53,1087.901,571.412,9.8,7.754,1.03,69.0,52.015,705.0,531.458,,,,,8506.0,1071551.0,807.779,6.412,7459.0,5.623,0.193,5.2,tests performed,204831.0,150844.0,53987.0,5437.0,6163.0,15.44,11.37,4.07,4646.0,,1326539.0,31.033,42.7,19.452,13.491,29481.252,0.5,255.569,4.02,24.5,39.3,,4.69,78.74,0.892
23345,SWZ,Africa,Eswatini,3/18/21,17267.0,10.0,7.429,664.0,1.0,0.714,14883.241,8.619,6.403,572.333,0.862,0.616,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,68.52,1160164.0,79.492,21.5,3.163,1.845,7738.975,,333.436,3.94,1.7,16.5,24.097,2.1,60.19,0.611
23727,ETH,Africa,Ethiopia,3/18/21,181869.0,2057.0,1522.714,2602.0,10.0,17.0,1581.971,17.893,13.245,22.633,0.087,0.148,1.26,,,,,,,,,8055.0,2256439.0,19.627,0.07,7035.0,0.061,0.216,4.6,tests performed,,,,,,,,,,50.93,114963583.0,104.957,19.8,3.526,2.063,1729.927,26.7,182.634,7.47,0.4,8.5,7.96,0.3,66.6,0.485
24159,OWID_EUR,,Europe,3/18/21,37215269.0,231578.0,181453.143,871566.0,3603.0,3088.857,49707.84,309.315,242.364,1164.137,4.812,4.126,,,,,,,,,,,,,,,,,,,96196422.0,73380770.0,22784796.0,1930125.0,1819209.0,12.85,9.8,3.04,2430.0,,748680069.0,,,,,,,,,,,,,,
24591,OWID_EUN,,European Union,3/18/21,24694516.0,185064.0,141363.429,585611.0,2590.0,2130.714,55503.39,415.95,317.728,1316.219,5.821,4.789,,,,,,,,,,,,,,,,,,,55490229.0,38809791.0,16680438.0,1102228.0,1135906.0,12.47,8.72,3.75,2553.0,,444919060.0,,,,,,,,,,,,,,
24651,FRO,Europe,Faeroe Islands,3/18/21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9342.0,5309.0,4033.0,172.0,100.0,19.12,10.86,8.25,2046.0,48.15,48865.0,35.308,,,,,,,,,,,,80.67,
24700,FLK,South America,Falkland Islands,3/18/21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,,,,4020.0,,3483.0,,,,,,,,,,,,,81.44,
25122,FJI,Oceania,Fiji,3/18/21,67.0,1.0,0.143,2.0,0.0,0.0,74.74,1.116,0.159,2.231,0.0,0.0,,,,,,,,,,95.0,34782.0,38.8,0.106,210.0,0.234,0.001,1468.5,tests performed,,,,,,,,,,45.37,896444.0,49.562,28.6,6.224,3.284,8702.975,1.4,412.82,14.49,10.2,34.8,,2.3,67.44,0.743
25548,FIN,Europe,Finland,3/18/21,69497.0,804.0,698.286,805.0,1.0,4.143,12542.959,145.108,126.028,145.288,0.18,0.748,1.04,50.0,9.024,275.0,49.633,,,,,22861.0,3762209.0,679.011,4.126,21391.0,3.861,0.033,30.6,tests performed,758780.0,671647.0,87133.0,35626.0,19106.0,13.69,12.12,1.57,3448.0,52.31,5540718.0,18.136,42.8,21.228,13.264,40585.721,,153.507,5.76,18.3,22.6,,3.28,81.91,0.938
25979,FRA,Europe,France,3/18/21,4241973.0,35061.0,27345.0,91833.0,422.0,264.143,62246.764,514.486,401.261,1347.559,6.192,3.876,1.18,4246.0,62.306,25389.0,372.558,,,,,487038.0,,,7.147,383604.0,5.629,0.08,12.5,people tested,,,,,202972.0,,,,2978.0,62.04,68147687.0,122.578,42.0,19.718,13.079,38605.671,,86.06,4.77,30.1,35.6,,5.98,82.66,0.901
26360,GAB,Africa,Gabon,3/18/21,17297.0,0.0,140.571,105.0,0.0,1.714,7771.39,0.0,63.158,47.176,0.0,0.77,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,65.74,2225728.0,7.859,23.1,4.45,2.976,16562.413,3.4,259.967,7.2,,,,6.3,66.47,0.703
26738,GMB,Africa,Gambia,3/18/21,5122.0,37.0,47.143,160.0,2.0,1.0,2119.451,15.31,19.507,66.207,0.828,0.414,1.0,,,,,,,,,,,,,,,,,,,,,,281.0,,,,116.0,44.44,2416664.0,207.566,17.5,2.339,1.417,1561.767,10.1,331.43,1.91,0.7,31.2,7.876,1.1,62.05,0.496
27136,GEO,Asia,Georgia,3/18/21,276436.0,369.0,341.571,3674.0,9.0,7.429,69296.534,92.5,85.625,920.992,2.256,1.862,1.08,,,,,,,,,,,,,,,,,,,,,,,,,,,64.81,3989175.0,65.032,38.7,14.864,10.244,9745.079,4.2,496.218,7.11,5.3,55.5,,2.6,73.77,0.812
27564,DEU,Europe,Germany,3/18/21,2639258.0,28489.0,13247.429,74402.0,359.0,183.143,31500.761,340.029,158.114,888.022,4.285,2.186,1.26,2887.0,34.458,,,,,,,,,,,188480.0,2.25,,,tests performed,10343593.0,7160168.0,3183425.0,191342.0,222047.0,12.35,8.55,3.8,2650.0,77.78,83783945.0,237.016,46.6,21.453,15.957,45229.245,,156.139,8.31,28.2,33.1,,8.0,81.33,0.947
27945,GHA,Africa,Ghana,3/18/21,88421.0,0.0,240.571,705.0,0.0,7.0,2845.594,0.0,7.742,22.689,0.0,0.225,0.91,,,,,,,,,3078.0,970048.0,31.218,0.099,3472.0,0.112,0.069,14.4,samples tested,420000.0,420000.0,,,15000.0,1.35,1.35,,483.0,50.93,31072945.0,126.719,21.1,3.385,1.948,4227.63,12.0,298.245,4.97,0.3,7.7,41.047,0.9,64.07,0.611
28024,GIB,Europe,Gibraltar,3/18/21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49981.0,29834.0,20147.0,653.0,727.0,148.35,88.55,59.8,21578.0,,33691.0,3457.1,,,,,,,,,,,,79.93,
28425,GRC,Europe,Greece,3/18/21,230317.0,3070.0,2236.571,7297.0,45.0,51.429,22096.878,294.539,214.579,700.083,4.317,4.934,1.11,,,,,,,,,53606.0,5998051.0,575.46,5.143,36879.0,3.538,0.061,16.5,samples tested,1375828.0,935269.0,440559.0,30093.0,21919.0,13.2,8.97,4.23,2103.0,87.96,10423056.0,83.479,45.3,20.396,14.524,24574.382,1.5,175.695,4.55,35.3,52.0,,4.21,82.24,0.888
28832,GRD,North America,Grenada,3/18/21,154.0,0.0,0.857,1.0,0.0,0.0,1368.658,0.0,7.618,8.887,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,246.0,,,,2186.0,,112519.0,317.132,29.4,7.304,5.021,13593.877,,243.964,10.71,,,,3.7,72.4,0.779
29239,GTM,North America,Guatemala,3/18/21,185832.0,898.0,669.857,6639.0,20.0,15.429,10372.655,50.124,37.39,370.572,1.116,0.861,1.1,,,,,,,,,6736.0,995869.0,55.587,0.376,4799.0,0.268,0.14,7.2,people tested,60182.0,60182.0,,5122.0,5748.0,0.34,0.34,,321.0,52.78,17915567.0,157.834,22.9,4.694,3.016,7423.808,8.7,155.898,10.18,,,76.665,0.6,74.3,0.663
29304,GGY,Europe,Guernsey,3/18/21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,307.0,,,,4579.0,,67052.0,,,,,,,,,,,,,,
29686,GIN,Africa,Guinea,3/18/21,18285.0,0.0,130.429,106.0,0.0,0.714,1392.316,0.0,9.932,8.071,0.0,0.054,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,52.78,13132792.0,51.755,19.0,3.135,1.733,1998.926,35.3,336.717,2.42,,,17.45,0.3,61.6,0.477
30056,GNB,Africa,Guinea-Bissau,3/18/21,3518.0,30.0,19.714,54.0,0.0,0.429,1787.603,15.244,10.017,27.439,0.0,0.218,0.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,1967998.0,66.191,19.4,3.002,1.565,1548.675,67.1,382.474,2.42,,,6.403,,58.32,0.48
30439,GUY,South America,Guyana,3/18/21,9442.0,120.0,64.143,212.0,3.0,0.857,12004.185,152.563,81.549,269.528,3.814,1.09,1.22,,,,,,,,,,,,,,,,,,,,,,547.0,,,,695.0,60.19,786559.0,3.952,26.3,5.305,2.837,7435.047,,373.159,11.62,,,77.159,1.6,69.91,0.682
30814,HTI,North America,Haiti,3/18/21,12686.0,17.0,13.143,251.0,1.0,0.0,1112.56,1.491,1.153,22.013,0.088,0.0,0.82,,,,,,,,,,,,,,,,,,,,,,,,,,,32.41,11402533.0,398.448,24.3,4.8,2.954,1653.173,23.5,430.548,6.65,2.9,23.1,22.863,0.7,64.0,0.51
31198,HND,North America,Honduras,3/18/21,180796.0,525.0,624.143,4402.0,12.0,13.0,18253.726,53.006,63.015,444.44,1.212,1.313,1.01,,,,,,,,,,,,,,,,,,,,,,3889.0,,,,393.0,82.41,9904608.0,82.805,24.9,4.652,2.883,4541.795,16.0,240.208,7.21,2.0,,84.169,0.7,75.27,0.634
31307,HKG,Asia,Hong Kong,3/18/21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,276600.0,276600.0,,22700.0,18686.0,3.69,3.69,,2492.0,71.3,7496988.0,7039.714,44.8,16.303,10.158,56054.92,,,8.33,,,,,84.86,0.949
31698,HUN,Europe,Hungary,3/18/21,539080.0,6502.0,7129.714,17628.0,207.0,161.571,55803.361,673.06,738.039,1824.779,21.428,16.725,1.16,,,10386.0,1075.116,,,,,26498.0,3711852.0,384.236,2.743,29528.0,3.057,0.241,4.1,tests performed,1922005.0,1477554.0,444451.0,58384.0,48641.0,19.9,15.3,4.6,5035.0,79.63,9660350.0,108.043,43.4,18.577,11.976,26777.561,0.5,278.296,7.55,26.8,34.8,,7.02,76.88,0.854
32096,ISL,Europe,Iceland,3/18/21,6091.0,2.0,3.0,29.0,0.0,0.0,17849.084,5.861,8.791,84.982,0.0,0.0,1.18,,,2.0,5.861,,,,,640.0,290437.0,851.097,1.875,627.0,1.837,0.005,209.0,tests performed,51283.0,37179.0,14104.0,986.0,747.0,15.03,10.89,4.13,2189.0,40.74,341250.0,3.404,37.3,14.431,9.207,46482.958,0.2,117.992,5.31,14.3,15.2,,2.91,82.99,0.949
32521,IND,Asia,India,3/18/21,11514331.0,39726.0,29355.0,159370.0,154.0,152.0,8343.692,28.787,21.272,115.485,0.112,0.11,1.38,,,,,,,,,1063379.0,230313163.0,166.893,0.771,864981.0,0.627,0.034,29.5,samples tested,39339817.0,32426230.0,6913587.0,2196562.0,1882128.0,2.85,2.35,0.5,1364.0,66.2,1380004385.0,450.419,28.2,5.989,3.414,6426.674,21.2,282.28,10.39,1.9,20.6,59.55,0.53,69.66,0.645
32915,IDN,Asia,Indonesia,3/18/21,1443853.0,6570.0,5733.0,39142.0,227.0,156.143,5278.714,24.02,20.96,143.103,0.83,0.571,0.95,,,,,,,,,,,,,43645.0,0.16,0.131,7.6,people tested,6787283.0,4838752.0,1948531.0,205895.0,256516.0,2.48,1.77,0.71,938.0,68.98,273523621.0,145.725,29.3,5.319,3.053,11188.744,5.7,342.864,6.32,2.8,76.1,64.204,1.04,71.72,0.718
33332,OWID_INT,,International,3/18/21,721.0,0.0,0.0,15.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33737,IRN,Asia,Iran,3/18/21,1778645.0,7530.0,7882.143,61581.0,89.0,80.714,21176.122,89.65,93.843,733.169,1.06,0.961,0.95,,,,,,,,,,,,,,,,,,,,,,3806.0,,,,45.0,80.09,83992953.0,49.831,32.4,5.44,3.182,19082.62,0.2,270.308,9.59,0.8,21.1,,1.5,76.68,0.783
34137,IRQ,Asia,Iraq,3/18/21,779458.0,5443.0,4830.857,13896.0,36.0,32.143,19378.655,135.322,120.103,345.478,0.895,0.799,1.08,,,,,,,,,42246.0,7540606.0,187.472,1.05,37437.0,0.931,0.129,7.7,samples tested,,,,,,,,,,76.85,40222503.0,88.125,20.0,3.186,1.957,15663.986,2.5,218.612,8.83,,,94.576,1.4,70.6,0.674
34536,IRL,Europe,Ireland,3/18/21,228796.0,581.0,516.714,4566.0,0.0,8.143,46335.653,117.664,104.645,924.704,0.0,1.649,0.99,83.0,16.809,345.0,69.869,,,,,13514.0,3786972.0,766.936,2.737,13933.0,2.822,0.037,27.0,tests performed,654251.0,478725.0,175526.0,14665.0,9248.0,13.25,9.7,3.55,1873.0,84.26,4937796.0,69.874,38.7,13.928,8.678,67335.293,0.2,126.459,3.28,23.0,25.7,,2.96,82.3,0.955
34604,IMN,Europe,Isle of Man,3/18/21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33336.0,21996.0,11340.0,,701.0,39.2,25.87,13.34,8244.0,,85032.0,147.872,,,,,,,,,,,,81.4,
35006,ISR,Asia,Israel,3/18/21,825562.0,1384.0,1616.0,6069.0,12.0,14.571,95379.596,159.898,186.701,701.169,1.386,1.683,0.56,249.0,28.768,1044.0,120.616,,,,,65537.0,14437514.0,1668.008,7.572,68799.0,7.949,0.023,42.6,tests performed,9636774.0,5153111.0,4483663.0,73794.0,73939.0,111.34,59.54,51.8,8542.0,54.63,8655541.0,402.606,30.6,11.733,7.359,33132.32,0.5,93.32,6.74,15.4,35.4,,2.99,82.97,0.919
35430,ITA,Europe,Italy,3/18/21,3306711.0,24901.0,22527.714,103855.0,423.0,381.571,54690.887,411.847,372.594,1717.695,6.996,6.311,1.04,3333.0,55.126,30027.0,496.627,,,,,353737.0,45894515.0,759.066,5.851,326822.0,5.405,0.069,14.5,tests performed,7426318.0,5109988.0,2316330.0,161014.0,159516.0,12.28,8.45,3.83,2638.0,84.26,60461828.0,205.859,47.9,23.021,16.24,35220.084,2.0,113.151,4.78,19.8,27.8,,3.18,83.51,0.892
35814,JAM,North America,Jamaica,3/18/21,33366.0,638.0,628.286,511.0,4.0,5.143,11267.878,215.456,212.175,172.567,1.351,1.737,1.09,,,,,,,,,,,,,2487.0,0.84,0.253,4.0,samples tested,,,,,2145.0,,,,724.0,71.3,2961161.0,266.879,31.4,9.684,6.39,8193.571,,206.537,11.28,5.3,28.6,66.425,1.7,74.47,0.734
36247,JPN,Asia,Japan,3/18/21,452147.0,1460.0,1204.714,8750.0,32.0,41.857,3574.95,11.544,9.525,69.183,0.253,0.331,1.12,,,,,,,,,54899.0,8633325.0,68.26,0.434,48798.0,0.386,0.025,40.5,people tested,508702.0,490413.0,18289.0,71217.0,46788.0,0.4,0.39,0.01,370.0,42.59,126476458.0,347.778,48.2,27.049,18.493,39002.223,,79.37,5.72,11.2,33.7,,13.05,84.63,0.919
36312,JEY,Europe,Jersey,3/18/21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,929.0,,,,9191.0,,101073.0,,,,,,,,,,,,,,
36699,JOR,Asia,Jordan,3/18/21,514107.0,9192.0,8136.571,5627.0,74.0,65.429,50387.136,900.899,797.458,551.497,7.253,6.413,1.19,,,,,,,,,47018.0,5364765.0,525.795,4.608,44500.0,4.361,0.183,5.5,tests performed,,,,,8207.0,,,,804.0,81.48,10203140.0,109.285,23.2,3.81,2.361,8337.49,0.1,208.257,11.75,,,,1.4,74.53,0.729
37081,KAZ,Asia,Kazakhstan,3/18/21,279220.0,1314.0,1122.429,3199.0,0.0,1.0,14870.552,69.98,59.778,170.371,0.0,0.053,1.12,,,,,,,,,49563.0,8211056.0,437.3,2.64,40865.0,2.176,0.027,36.4,tests performed,109995.0,90748.0,19247.0,,5129.0,0.59,0.48,0.1,273.0,57.41,18776707.0,6.681,30.6,6.991,4.625,24055.588,0.1,466.792,7.11,7.0,43.1,98.999,6.7,73.6,0.825
37470,KEN,Africa,Kenya,3/18/21,117535.0,1225.0,907.143,1954.0,17.0,7.857,2185.831,22.782,16.87,36.339,0.316,0.146,1.45,,,,,,,,,,,,,,,,,,,,,,3002.0,,,,56.0,50.93,53771300.0,87.324,20.0,2.686,1.528,2993.028,36.8,218.637,2.92,1.2,20.4,24.651,1.4,66.7,0.601
37851,OWID_KOS,Europe,Kosovo,3/18/21,78340.0,0.0,518.857,1723.0,0.0,7.0,40532.416,0.0,268.452,891.465,0.0,3.622,0.99,,,,,,,,,,,,,,,,,,,,,,,,,,,62.04,1932774.0,168.155,,,,9795.834,0.6,,,,,,,,
