country_name,iso_code,population_2019,people_fully_vaccinated,gdp_2019,latitude,longitude,Location1,location2,location
Belgium,BEL,11484055,12832611,5.33E+11,50.503887,4.469936,"50.503887, 4.469936","[50.503887, 4.469936]","[50.503887, 4.469936]"
Singapore,SGP,5703569,218694,3.72E+11,1.352083,103.819836,"1.352083, 103.819836","[1.352083, 103.819836]","[1.352083, 103.819836]"
Ecuador,ECU,17373662,38821,1.07E+11,-1.831239,-78.183406,"-1.831239, -78.183406","[-1.831239, -78.183406]","[-1.831239, -78.183406]"
Spain,ESP,47076781,32751017,1.39E+12,40.463667,-3.74922,"40.463667, -3.74922","[40.463667, -3.74922]","[40.463667, -3.74922]"
Mexico,MEX,127575529,15556201,1.27E+12,23.634501,-102.552784,"23.634501, -102.552784","[23.634501, -102.552784]","[23.634501, -102.552784]"
Argentina,ARG,44938712,13173905,4.45E+11,-38.416097,-63.616672,"-38.416097, -63.616672","[-38.416097, -63.616672]","[-38.416097, -63.616672]"
Malta,MLT,502653,1151310,14989415684,35.937496,14.375416,"35.937496, 14.375416","[35.937496, 14.375416]","[35.937496, 14.375416]"
San Marino,SMR,33860,64,0,43.94236,12.457777,"43.94236, 12.457777","[43.94236, 12.457777]","[43.94236, 12.457777]"
Latvia,LVA,1912789,725175,34102913582,56.879635,24.603189,"56.879635, 24.603189","[56.879635, 24.603189]","[56.879635, 24.603189]"
Germany,DEU,83132799,95848255,3.86E+12,51.165691,10.451526,"51.165691, 10.451526","[51.165691, 10.451526]","[51.165691, 10.451526]"
Peru,PER,32510453,1660529,2.27E+11,-9.189967,-75.015152,"-9.189967, -75.015152","[-9.189967, -75.015152]","[-9.189967, -75.015152]"
Ukraine,UKR,44385155,1,1.54E+11,48.379433,31.16558,"48.379433, 31.16558","[48.379433, 31.16558]","[48.379433, 31.16558]"
